spectrum,wavenumber,persistence,prominence,matched,essential,edge,n_topological,n_peaks,summary
3,2375.736593498194,0.002445866748646436,0.002445866748646436,True,False,False,,,
3,3565.6782439566546,0.0023783982693077275,0.0023783982693077275,True,False,False,,,
3,2037.6960266740762,0.002293332602806241,0.002293332602806241,True,False,False,,,
3,1846.3339816615728,0.0022919852038308323,0.0022919852038308323,True,False,False,,,
3,3924.1178105029176,0.0022203325570491206,0.0022203325570491206,True,False,False,,,
3,2221.2870241733817,0.0020468110159536385,0.0020468110159536385,True,False,False,,,
3,1704.5123645457072,0.002035703147137167,0.002035703147137167,True,False,False,,,
3,3975.6010002778553,0.0020199270107867547,,False,False,False,,,
3,,,,,,,79.0,77.0,True
4,907.0086135037511,1.0,0.9365889377637701,True,True,False,,,
4,2916.7957766046125,0.5631013267987575,0.5580753230376128,True,False,False,,,
4,698.1617115865519,0.50642404383345,0.5012791640049199,True,False,False,,,
4,991.5187552097805,0.3378165348850003,0.3378165348850003,True,False,False,,,
4,965.2914698527369,0.23971675245179466,0.23971675245179466,True,False,False,,,
4,1451.9533203667686,0.18983807698166932,0.18983807698166932,True,False,False,,,
4,1639.429841622673,0.1427061643844291,0.1427061643844291,True,False,False,,,
4,2849.7704918032787,0.11705311904687837,0.11705311904687837,True,False,False,,,
4,1417.9549874965269,0.102966451076154,0.102966451076154,True,False,False,,,
4,665.1347596554599,0.09889465983298859,0.09889465983298859,True,False,False,,,
4,3072.216726868575,0.060406237309501884,0.060406237309501884,True,False,False,,,
4,1376.185607113087,0.05620705799778559,0.05620705799778559,True,False,False,,,
4,541.7693803834399,0.04951946621105306,0.04951946621105306,True,False,False,,,
4,1492.7513198110587,0.042445789278955426,0.042445789278955426,True,False,False,,,
4,1071.1719922200612,0.027561071633991796,0.027561071633991796,True,False,False,,,
4,1601.5459849958322,0.019144973937562072,0.019144973937562072,True,False,False,,,
4,2018.2684078910809,0.01626791834607029,0.01626791834607029,True,False,False,,,
4,2166.8896915809946,0.015227069214981464,0.015227069214981464,True,False,False,,,
4,567.9966657404834,0.01478897311628953,0.01478897311628953,True,False,False,,,
4,1826.9063628785775,0.014563736969138496,0.014563736969138496,True,False,False,,,
4,510.6851903306474,0.014487384193753852,0.014487384193753852,True,False,True,,,
